Epoch	TotalEnvInteracts	Time	SPS	ReplayMode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageLossQ1	StdLossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
10	54999	4281.200799703598	12.851847676878966	dynamic_pitod	97.60035	148.71451	652.4753	11.643729	48.56	513.393	69.62033	614.5301	431.67648	220.5	200.01172	58.726463	281.01007	-90.457275	9.407846	8.515931	1.0567627	2.4753098	20.910183	-12.582532	-75.935684	0.22935131	0.031113401	0.27439946	0.1727848	0.08689133	0.93870604	0.7276874	7.7916365	7.3201954e-07	194.59296	60.105804	270.39175	4.3197794	197.13902	61.809696	273.98923	4.3197794	191.4265	37.288963	226.06909	10.12538	-5.7125335	38.047123	115.47771	-81.21304	30.70131	23.1872	115.47771	0.011686093	0.2336378	0.44306415	4.7650905	5.660348e-05	1480.2164	2025.3701	13335.101	0.00013656478	12.125383	31.097574	386.20374	6.6147356e-07
11	59999	4535.711344242096	13.233199638804594	dynamic_pitod	458.21622	330.87753	1142.9149	36.515675	189.77777	757.7454	3.4599943	761.45764	751.6205	246.0	216.0337	60.992558	289.67484	-99.65228	11.578987	13.921858	0.99146855	2.471465	21.059418	-12.606546	-83.712166	0.24781567	0.0075135645	0.2742235	0.23435669	-0.011252629	0.9598365	0.7305867	7.048756	0.0	201.04858	64.11231	259.37695	4.210925	200.70291	63.93223	262.8914	4.210925	190.57745	49.35567	248.53186	-2.361627	-10.125431	24.258175	52.705112	-64.757904	21.475061	15.159327	64.757904	0.07026684	0.13288242	0.13535596	1.3313073	0.00038306075	690.98334	839.1878	4193.586	0.004937429	3.8839304	4.9378653	30.690294	2.6916468e-05
12	64999	4786.6677877902985	13.584096348701708	dynamic_pitod	533.165	286.07465	1018.4462	43.116474	205.75	448.1302	109.30169	530.1719	278.46198	180.1	214.64928	63.978237	293.70758	-113.7335	12.1074095	18.519417	0.9847392	2.452416	21.633598	-13.056656	-96.031494	0.23268957	0.012535493	0.25752077	0.21104601	-0.021651544	0.95036525	0.734706	6.8773284	2.9802322e-07	168.43188	66.47581	266.08694	2.7984467	170.64415	66.960495	257.8034	2.7984467	216.92073	29.336481	249.20709	27.041216	46.27659	66.84493	243.88113	-80.54594	55.433628	59.471676	243.88113	0.2335828	1.0856811	2.9564579	24.388113	0.0010275267	6609.767	11390.478	59478.008	0.054560926	183.8173	601.86694	5947.801	0.00024001255
13	69999	5039.831154346466	13.893931904365797	dynamic_pitod	685.6302	177.78088	979.31274	262.4441	235.57143	359.85922	254.28673	769.9235	133.92456	162.9	222.8272	65.63118	305.92154	-124.97905	9.85217	12.854266	1.0016603	2.4439757	24.500893	-12.432106	-97.477875	0.23778877	0.01087632	0.25256917	0.22060592	0.0025056954	0.97034335	0.73896027	6.745289	1.3113022e-06	177.10611	71.81122	256.39215	1.8868649	183.68034	74.81875	268.0377	1.8868649	229.80719	17.299847	254.83969	72.491516	46.126842	71.12003	221.83195	-43.075447	58.226166	61.607296	221.83195	0.011462064	1.1637021	3.0216775	21.980045	4.7481197e-05	7185.7446	11708.336	49209.414	0.00013137891	196.72633	609.72766	4831.224	5.4423253e-07
14	74999	5295.403494119644	14.167669285731925	dynamic_pitod	438.01828	221.37209	1090.1421	130.03069	188.2963	280.8514	162.86584	482.4791	147.24907	134.2	225.4681	62.052856	307.0142	-91.26915	9.791916	12.278101	1.0064567	2.4349515	21.570843	-11.686516	-94.800186	0.23666695	0.00399932	0.24511701	0.22565205	0.009510379	0.9678498	0.7431017	7.9040775	1.1920929e-07	180.988	70.25153	289.2078	2.9268901	181.97426	69.722	282.9676	2.9268901	233.04259	29.599825	263.0055	-7.206431	51.068356	69.055786	244.13446	-52.08742	61.49341	59.960308	244.13446	0.021550123	1.0770273	3.1382027	24.413446	9.2433766e-05	7376.678	12644.632	59601.637	0.00046440776	196.45045	713.5118	5960.1636	1.991959e-06
15	79999	5549.278691768646	14.420603078876127	dynamic_pitod	710.1218	278.6924	1244.998	271.44128	247.3	589.2061	1.6512551	592.74945	587.36707	218.6	229.41803	62.45158	318.93817	-103.87083	9.633951	14.379395	0.9984656	2.3697865	21.469446	-13.168434	-104.02261	0.24976772	0.0044883303	0.25700298	0.23531716	-0.0021357185	0.9579283	0.74203736	7.0581274	7.972121e-07	210.871	73.070244	300.2176	3.0750306	214.75142	74.3768	303.34793	3.0750306	229.31157	42.154438	262.1814	-6.89794	14.560178	61.723366	231.3876	-97.716576	43.616184	46.036953	231.3876	0.04578142	0.55501384	1.9850464	22.616066	0.00024656265	4021.7725	8826.855	53540.227	0.0020959384	84.69376	416.1313	5114.8643	1.4700162e-05
16	84999	5803.638036966324	14.650177366626735	dynamic_pitod	752.0449	294.04053	1193.862	151.43146	251.15	786.0472	10.6953	798.6703	764.8691	255.3	227.42087	62.08452	308.13763	-86.23189	8.459002	13.357783	0.9870261	2.4466858	21.44748	-12.004527	-102.8215	0.21363692	0.009466317	0.2371721	0.20018977	-0.019483965	0.95564026	0.7482128	7.0986767	1.4901161e-07	251.11592	62.04823	314.38934	4.435512	251.50856	61.598988	313.52966	4.435512	227.97876	46.653717	265.15802	-4.9949594	-23.529787	28.850649	79.56551	-111.70341	33.319195	16.608498	111.70341	0.09489506	0.14306965	0.10442702	1.025153	0.00040884982	1386.011	1247.5201	12477.65	0.0090050725	5.664904	6.2687263	50.324905	3.879783e-05
17	89999	6057.703004360199	14.86119030919919	dynamic_pitod	905.9807	179.7508	1179.7178	501.7972	296.29413	1039.5562	15.20472	1081.5289	1022.668	327.5	228.33945	62.99307	328.90494	-100.74779	7.220685	10.724381	0.9926149	2.4299972	22.15945	-11.85351	-103.656685	0.21108782	0.006946478	0.22310805	0.19533445	-0.011726647	0.9415375	0.7413429	7.3132687	1.4901161e-07	241.60495	70.825516	308.07693	4.667061	241.60347	69.959625	305.6215	4.667061	224.53242	61.159973	276.8255	-5.3345003	-17.071056	23.013294	59.686176	-64.29051	25.766756	12.534227	64.29051	0.015050751	0.12790082	0.12639508	1.4579074	5.4639473e-05	821.0326	685.11896	4133.2695	0.00022652511	3.8114195	4.2481966	47.835907	8.223651e-07
18	94999	6314.142511129379	15.049547837642024	dynamic_pitod	925.8769	182.05205	1318.4543	569.3864	292.47058	1054.2356	60.965584	1146.0598	980.20325	335.7	227.82753	65.313126	330.67255	-105.85658	7.6113772	10.125253	1.0049967	2.3949354	21.985493	-13.273381	-118.86675	0.21149048	0.005204805	0.21744825	0.19532746	0.008111538	0.92838013	0.74235666	7.678811	5.066395e-07	212.02843	68.93311	295.64694	3.4326665	211.44725	68.89046	290.94818	3.4326665	231.64993	55.042606	280.5671	-5.733474	20.20268	48.00347	214.22914	-40.55583	34.298378	39.193146	214.22914	0.057718802	0.37303412	1.4412472	21.184175	0.00023745357	2712.4814	6661.4526	45894.125	0.00333146	48.054455	293.20566	4499.9614	1.3705536e-05
19	99999	6568.758725643158	15.227425656210968	dynamic_pitod	836.2464	195.79817	1267.8225	320.54398	263.21054	905.50037	2.9100676	909.3734	900.1325	267.3	231.20552	66.623055	327.44757	-110.45976	6.4292755	9.090882	1.0095087	2.4318185	21.57756	-11.7322855	-105.9048	0.2180837	0.005006037	0.22608137	0.2022776	0.0148547515	0.9539375	0.7516792	7.620924	1.7881393e-07	240.81323	74.45897	304.83698	4.503753	238.59598	73.418365	302.01376	4.503753	227.77386	69.04653	286.5379	-15.891167	-10.822108	19.920681	59.180683	-44.6047	19.662424	11.284529	59.180683	0.010106376	0.10322863	0.14551106	2.2077324	3.7481797e-05	513.9515	496.62912	3502.3535	0.000102138845	2.3943849	3.1819963	48.74083	3.7880517e-07
