Epoch	TotalEnvInteracts	Time	SPS	ReplayMode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageLossQ1	StdLossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	4999	215.89291667938232	23.317526411911487	dynamic_pitod	16.86873	15.463975	126.444176	4.488299	20.599174	10.602439	0.15817392	10.847809	10.363773	14.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4556003	5.219587	30.613829	-2.6281703	8.672734	7.167934	41.142113	-1.6222676	0.0121546155	0.06924065	0.2125232	-0.18534572	-8.660579	7.151268	1.5581068	-41.07286	8.685488	7.120995	41.07286	0.0042021796	0.63999116	0.35709617	1.014476	0.00042021796	126.14626	201.0002	1686.98	1.7658313e-05	7.6528625	7.7218685	41.003727	1.7658314e-06
1	9999	472.0310046672821	21.250865517343186	dynamic_pitod	60.64292	70.35419	313.3575	5.4179854	39.15625	11.490146	0.5947306	12.050916	10.519377	11.7	91.37753	49.92729	177.81133	-49.338997	11.011807	11.912275	-0.6006787	2.1221728	14.988384	-11.161607	-96.593185	0.55660295	0.20057592	0.99970007	0.30038932	-0.8298121	0.8571609	0.63409996	4.992066	0.0	13.761444	14.923828	73.66382	0.88559866	15.853198	16.860847	83.30413	0.88559866	75.11724	21.74818	88.67707	-12.250299	59.264046	23.055544	86.23195	-13.359237	59.437572	22.604414	86.23195	0.17584884	4.8971224	2.7702496	8.623196	0.003643851	4043.7847	2106.5942	7435.9497	0.030922815	345.9856	232.14479	743.595	0.0011000652
2	14999	727.9150788784027	20.648268771350907	dynamic_pitod	189.21364	42.861855	242.74536	12.753919	87.47369	238.825	1.552703	240.78055	235.07956	102.5	178.42114	54.38308	260.0167	-85.023056	20.655525	15.708945	0.8624166	2.5782044	19.497072	-12.845049	-186.14738	0.23935637	0.022338232	0.300356	0.21702339	-0.1816152	0.9983536	0.7111686	6.738037	9.834766e-07	78.46242	47.977413	144.40102	1.6385235	83.14049	51.705032	155.1407	1.6385235	141.9969	26.408297	158.30524	-1.5307999	58.85642	47.71823	154.53773	-38.753647	59.366432	47.08221	154.53773	0.027704405	2.2872446	3.6288323	15.453773	0.0001862335	5741.1074	6998.7446	23881.91	0.0007675341	272.6741	531.4135	2388.191	5.1594884e-06
3	19999	983.1100442409515	20.373899347745315	dynamic_pitod	230.02612	84.126	353.41068	38.773743	109.26667	343.9983	1.0861572	346.24643	342.71274	160.2	170.56564	54.31399	262.0351	-64.04991	8.065842	17.903418	0.9349636	2.308607	17.884384	-12.940107	-28.986902	0.18487996	0.010591368	0.23915924	0.17277914	-0.10223759	0.8221804	0.6759897	7.026559	6.7427754e-07	117.87172	44.31479	164.71848	3.1572516	123.617905	48.112625	175.70584	3.1572516	148.66199	44.62771	184.67433	6.2767496	25.044092	13.897938	51.308537	-0.52128804	25.045647	13.895133	51.308537	0.17604415	0.27491534	0.21704516	1.15087	0.009327394	820.3592	736.30237	2632.5657	0.030991541	8.924027	9.127896	36.457928	0.0022936524
4	24999	1240.7375702857971	20.173074546935567	dynamic_pitod	99.58384	125.23171	371.73154	10.631756	53.623657	376.4201	2.3055513	381.0509	373.14737	197.6	196.75737	64.6906	268.18604	-78.807076	29.343555	25.048206	1.0455251	2.5090482	20.671366	-13.202806	-159.0749	0.22973657	0.008342998	0.2372688	0.18497512	0.071614355	0.9533101	0.706969	6.247639	4.7683716e-07	86.56964	54.43152	160.35834	1.7809663	93.0991	59.81322	173.21056	1.7809663	146.34346	40.4258	178.53452	11.1476	53.24436	63.257282	170.87968	-50.180363	55.244946	61.517815	170.87968	0.014203067	2.386041	4.103027	17.087969	0.00024655406	6836.446	9499.487	29199.865	0.0002017271	339.88513	640.2943	2919.9866	3.5018238e-06
5	29999	8035.627843618393	3.7340528397351167	dynamic_pitod	215.41895	166.35986	438.26486	17.689137	113.46667	639.81555	1.4255967	642.05115	636.90845	453.9	187.57927	67.29586	272.41653	-84.409744	18.953526	15.264404	0.9915297	2.4269671	21.278212	-12.149858	-140.88591	0.2363999	0.009563496	0.25327405	0.2147135	-0.012631186	0.95443434	0.70436996	6.7240696	1.7881393e-07	117.070496	31.979801	149.05623	2.7728577	131.95853	39.10166	170.24037	2.7728577	136.75073	39.757915	173.53854	-0.99735546	4.792202	5.3431616	21.087692	-13.394225	5.7366967	4.3133383	21.087692	0.008703941	0.060193844	0.07934339	0.7518365	7.386485e-05	51.514572	70.68033	444.69073	7.575857e-05	0.52272236	0.8702535	6.9226007	6.4291527e-07
6	34999	8291.378744363785	4.221996522845604	dynamic_pitod	288.6645	206.83984	703.4624	11.180298	180.85185	600.59845	1.7253513	603.34467	598.2297	418.3	189.39813	65.93939	269.14493	-84.97384	10.710864	9.246531	0.98664445	2.513151	21.060398	-14.344122	-108.06321	0.22193095	0.017379487	0.24743998	0.1918901	-0.021187086	0.95825875	0.7139042	7.2313013	2.3841858e-07	115.196236	34.14687	159.58426	2.8442533	128.82968	40.442703	176.14401	2.8442533	136.457	34.05834	165.24054	10.281244	7.6273255	11.7608795	39.401398	-17.304745	10.016986	9.805834	39.401398	0.036647156	0.14565188	0.30436328	2.8691998	0.00024280346	196.49437	342.83347	1552.4702	0.0013430142	3.225244	8.417513	82.32307	8.898057e-06
7	39999	8541.807114124298	4.6836514326115655	dynamic_pitod	233.16228	140.06123	465.8511	9.06131	121.92857	73.01475	0.96977246	75.16452	72.17612	46.2	194.30713	64.25	291.72186	-82.24123	9.376572	7.6288214	1.0132282	2.5994167	22.741896	-12.075121	-102.24257	0.21280459	0.009798395	0.23218063	0.19189861	0.021283561	0.9503457	0.72657704	7.6900463	0.0	49.854595	38.673992	161.75331	1.5545404	53.312943	42.20702	174.19086	1.5545404	160.9793	21.838253	174.96152	11.879408	107.66636	49.03182	170.00912	-22.079693	108.28421	47.651802	170.00912	0.11314336	4.3654284	4.5739613	17.000912	0.0006800486	13996.165	7925.038	28903.102	0.012801421	623.4521	748.07935	2890.3103	7.694298e-05
8	44999	8794.708930015564	5.11756350724631	dynamic_pitod	140.03459	110.701294	320.9189	9.03092	68.5	310.1326	0.8717448	312.18335	309.24567	142.6	206.28072	70.76123	310.99368	-78.01491	11.143069	8.748583	1.0098408	2.611139	23.384298	-13.731915	-101.25837	0.24452883	0.013178866	0.26369983	0.21263318	0.01493937	0.9617526	0.7302549	7.3986545	2.9802322e-07	98.379425	48.848026	164.44423	1.7260418	107.85321	54.3804	179.82097	1.7260418	143.26852	43.15558	186.16644	1.8583889	35.415318	42.559254	179.03706	-16.620207	35.932938	42.123135	179.03706	0.021400316	1.2068664	3.0461328	17.903708	0.00014597646	3065.5344	6773.8677	32054.271	0.0004579735	152.88106	495.8205	3205.4272	3.1239422e-06
9	49999	9046.668210744858	5.527789903387277	dynamic_pitod	124.42957	129.57733	368.46896	9.713206	62.49367	330.3531	0.7499586	331.57214	329.30453	142.0	197.06497	69.25234	292.28207	-103.42851	13.04967	10.557416	0.9644991	2.7009451	22.01087	-11.258869	-99.12616	0.19083968	0.012511329	0.22761612	0.17388307	-0.057144355	0.9203452	0.72868836	6.932045	6.2584877e-07	118.597565	47.59914	167.98091	1.7932876	128.36545	52.436493	182.33034	1.7932876	127.1179	49.8821	172.32002	-9.481066	-1.2475569	24.415993	161.0547	-49.228096	13.515427	20.372295	161.0547	0.05429455	0.34719774	1.5659937	16.10547	0.0005582477	597.69714	3059.8918	25938.617	0.002947898	33.934483	235.6524	2593.8616	3.9649127e-05
