Epoch	TotalEnvInteracts	Time	SPS	ReplayMode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageLossQ1	StdLossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	4999	448.28518629074097	11.196587231144871	dynamic_pitod	16.384998	14.255733	132.62253	2.3288743	21.433475	64.96717	2.6015644	69.67266	60.405712	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.009001	14.2168455	67.21604	-0.9169317	20.681578	17.42893	82.19611	-0.36088923	0.015129608	0.08977333	0.4654376	-0.1833047	-20.666449	17.407078	0.24515434	-82.09295	20.667797	17.405476	82.09295	0.035681427	0.8257301	0.29941845	1.0142422	0.0035681427	730.10846	1147.0797	6739.252	0.0012731642	20.112299	17.892603	81.98991	0.00012731642
1	9999	671.9002561569214	14.921370655971595	dynamic_pitod	169.0006	84.05093	271.69174	9.932668	85.51724	216.10957	0.8167228	217.83832	215.30646	92.2	90.91788	50.56063	185.33786	-28.750372	5.9797897	5.996208	-0.6876326	1.9509802	15.338589	-10.894855	-95.61634	0.5536495	0.20087609	0.99970007	0.28939977	-0.90185237	0.83192855	0.6263888	5.4081264	2.0861626e-07	95.37434	40.34144	143.73094	1.7228523	106.24232	46.442314	163.64233	1.7228523	83.36955	16.676743	92.68027	0.15821958	-22.872768	37.93929	86.54171	-78.74941	38.620285	21.703157	86.54171	0.12721266	0.50583255	0.7752717	8.654171	0.0013849911	1962.5533	1766.9015	7489.468	0.016183062	23.544334	57.465157	748.9468	0.0001761884
2	14999	900.2711374759674	16.69355065296641	dynamic_pitod	170.81981	90.53129	286.99368	9.631331	80.78689	89.87541	0.9013903	90.90616	88.62547	54.6	170.48825	55.739803	241.3274	-52.811077	9.979495	9.860267	0.7342385	2.4676592	20.02921	-12.896007	-170.71808	0.20369932	0.03330619	0.28934827	0.16887699	-0.3836465	0.96935594	0.7193052	6.3917975	5.364418e-07	84.335724	50.835022	156.94427	0.9569696	93.26274	56.200817	177.27043	0.9569696	116.235794	29.994463	139.11868	8.573664	22.97305	52.559086	133.7449	-74.91057	45.455856	34.985474	133.7449	0.02115392	1.4700483	2.9323316	13.37449	0.0008198118	3290.2185	4262.8726	17887.7	0.00044748827	147.42041	359.20285	1788.7699	2.1559676e-05
3	19999	1130.6773607730865	17.71546931498907	dynamic_pitod	211.03003	123.82285	364.23038	8.3645525	108.80851	261.29346	5.0070057	267.51288	252.25336	116.2	186.78606	62.7339	254.98442	-61.097523	6.6704063	7.9111743	1.0013279	2.6353307	20.465214	-13.622509	-109.2193	0.18642192	0.008182074	0.19972105	0.17201413	0.0022901138	1.0002202	0.7547989	7.0083	1.9446015e-06	104.09327	40.923805	154.17839	2.9740365	111.94185	45.245068	168.4034	2.9740365	122.49444	37.895943	156.20215	7.139319	10.552598	17.746504	89.79859	-31.677866	14.280893	14.911464	89.79859	0.0007546165	0.25287235	0.638625	8.979859	5.1329944e-06	426.29565	1030.2529	8063.7866	5.6944606e-07	9.789433	49.78018	806.37866	3.8734425e-09
4	24999	1360.3845496177673	18.400428458957496	dynamic_pitod	313.69693	54.22842	373.07538	163.77518	124.76923	346.34442	2.0841076	349.71228	342.62622	132.5	203.90317	67.747345	290.64777	-47.765842	4.581921	6.401386	1.0385265	2.615171	21.10231	-14.850699	-83.70336	0.22866455	0.025210597	0.26474866	0.18239789	0.06013353	1.0132636	0.7563071	7.509424	1.1175871e-07	128.37968	50.938335	178.62114	2.8110778	133.66643	53.486965	189.56021	2.8110778	150.40953	54.205627	197.68709	4.499461	16.743086	8.500387	46.052086	-31.18581	16.95354	8.072481	46.052086	0.18159255	0.17637111	0.17039254	1.3523604	0.0014718025	352.58746	318.86044	2120.7947	0.032975856	3.3755584	3.6951642	23.404627	0.0004089957
5	29999	2145.3330950737	13.99506635792607	dynamic_pitod	340.23828	77.63489	540.4927	71.29378	133.92105	333.95004	0.62290764	334.8853	332.8192	138.7	214.60428	71.1468	293.83347	-49.43741	5.3318143	7.4170413	0.9789069	2.6592162	21.857252	-12.846569	-102.50869	0.2252361	0.021752024	0.27122813	0.20081425	-0.03177534	1.0075561	0.76095295	7.1796	9.536743e-07	118.15803	49.950478	174.54073	2.7435155	122.95876	52.50262	186.19478	2.7435155	171.73434	45.55767	208.48889	16.355375	48.77558	26.271591	168.6148	9.633843	48.77558	26.271591	168.6148	9.633843	0.69869524	1.2647874	16.86148	0.0629388	3069.254	3899.3552	28430.953	92.81094	54.038116	195.51787	2843.0952	0.60634255
6	34999	2374.4267983436584	14.75108847156658	dynamic_pitod	364.55988	91.09373	562.5718	160.47646	150.81818	487.67505	2.3683603	490.87146	483.46274	177.6	197.34601	64.99831	276.36035	-45.491646	5.840119	8.501883	1.0002661	2.5489576	21.368404	-13.912266	-126.1849	0.2157036	0.0082236435	0.23527482	0.20191467	0.0005343247	0.98570466	0.7508625	6.9258413	5.5134296e-07	163.1853	58.27507	227.50078	3.460792	163.96056	59.595364	226.10677	3.460792	176.66692	54.458298	226.89835	5.5302296	12.706373	15.279698	57.4328	-23.859558	14.884377	13.167249	57.4328	0.0072700265	0.16120464	0.28476	2.7227201	3.34161e-05	394.92105	584.79016	3298.5264	5.2853284e-05	4.1904187	8.246498	74.141846	2.4293595e-07
7	39999	2603.5741539001465	15.373655032597636	dynamic_pitod	477.37787	119.34565	705.40985	21.220596	168.73334	504.222	6.8023667	512.7637	490.39676	169.4	205.76007	68.358215	292.19073	-44.514763	4.4427023	6.1133776	1.0036869	2.5324483	20.676535	-14.347818	-111.75123	0.22139338	0.006860824	0.23874304	0.20209669	0.005902133	0.9825354	0.75391966	6.71227	3.4831464e-07	160.32515	62.700325	234.0389	2.6637418	160.0925	62.913506	231.52507	2.6637418	171.3371	64.31086	231.76926	4.5312347	11.244602	13.326822	46.201756	-28.676023	13.466079	11.077455	46.201756	0.03057584	0.115752526	0.13766466	1.3357139	0.0001420101	304.0453	398.58984	2134.602	0.00093488203	2.3007405	3.0383847	17.841314	4.3420782e-06
8	44999	2832.8244998455048	15.894859593490214	dynamic_pitod	623.5409	148.79547	923.5322	320.3957	213.39131	658.7747	1.1385316	661.21106	657.1114	203.9	211.22263	68.79169	293.5537	-78.77911	3.8190415	5.449286	0.99715257	2.5065227	22.927048	-11.767506	-100.44818	0.2101168	0.0055469815	0.2183863	0.19903398	-0.004463148	0.9577299	0.74602383	7.383754	5.0943345e-07	203.38664	74.627594	279.55826	2.4398143	200.22319	73.764885	271.07724	2.4398143	190.5067	59.246212	234.46698	-8.929781	-9.716493	30.30442	104.63381	-45.10678	27.045042	16.77301	104.63381	0.011023936	0.17792735	0.19303423	1.2462721	5.4763972e-05	1012.7681	1343.3975	10948.235	0.000121527155	6.6873465	13.16667	105.85017	6.037145e-07
9	49999	3061.1671850681305	16.342824608344998	dynamic_pitod	650.68713	113.81254	999.7215	462.1733	205.29167	444.75665	1.9074936	449.08688	441.23764	155.4	214.29735	67.68585	298.10547	-61.36158	3.9163477	4.352597	1.0090451	2.574498	24.469938	-12.572102	-124.405785	0.20763414	0.0044756895	0.21633832	0.1991895	0.014292048	0.9674357	0.7572054	8.937385	1.7881393e-07	191.90952	76.55419	292.0881	3.77765	189.86674	76.33894	285.6854	3.77765	212.58875	45.261665	244.5635	-7.4335465	22.722008	62.425602	196.68727	-63.954556	50.246574	43.457188	196.68727	0.056234874	0.712932	1.9799211	19.668728	0.00029968523	4413.245	7137.235	38685.883	0.003162361	92.521255	335.38742	3868.5881	1.685276e-05
