Epoch	TotalEnvInteracts	Time	SPS	ReplayMode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageLossQ1	StdLossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	4999	220.68101572990417	22.774583477873673	static_pitod	16.86873	15.463975	126.444176	4.488299	20.599174	10.602439	0.15817392	10.847809	10.363773	14.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4556003	5.219587	30.613829	-2.6281703	8.672734	7.167934	41.142113	-1.6222676	0.0121546155	0.06924065	0.2125232	-0.18534572	-8.660579	7.151268	1.5581068	-41.07286	8.685488	7.120995	41.07286	0.0042021796	0.63999116	0.35709617	1.014476	0.00042021796	126.14626	201.0002	1686.98	1.7658313e-05	7.6528625	7.7218685	41.003727	1.7658314e-06
1	9999	421.3971178531647	23.79484515826055	static_pitod	63.00515	74.61042	294.47455	5.3106694	40.201614	266.19693	84.37296	296.42773	13.107679	117.9	88.79029	49.02868	171.39032	-37.77834	11.76901	12.077362	-0.583191	2.1210408	13.841675	-12.023092	-93.96632	0.55834526	0.19936512	0.99970007	0.29901525	-0.8157733	0.87150633	0.6439746	5.533766	4.3958426e-07	60.377983	51.59637	159.9784	0.87974197	69.25157	58.82291	184.02487	0.87974197	77.65887	14.163235	85.080055	-2.0874724	8.407292	56.343235	80.87815	-138.3429	49.604477	28.011402	138.3429	0.010625187	2.1351526	2.600453	8.087814	0.00012829079	3245.2427	2837.3086	19138.756	0.00011289461	139.94771	190.52805	654.1275	1.3631137e-06
2	14999	620.1595554351807	24.23179028703226	static_pitod	200.64503	68.55705	323.18448	7.9374533	93.13207	206.5201	1.5807248	208.41621	203.89664	93.2	166.37262	50.36311	238.0503	-56.91455	17.231548	11.8159895	0.80993664	2.7018285	21.057129	-12.155697	-173.3828	0.22414282	0.027999697	0.29896638	0.19491482	-0.25987047	1.0130496	0.7324847	7.452199	5.9604645e-08	94.64556	40.177414	155.24533	2.5282	104.738556	45.183636	174.18637	2.5282	123.02631	29.580933	146.81802	-10.677233	18.287764	22.405005	67.44126	-31.045074	23.406921	16.986544	67.44126	0.023355788	0.53491455	0.97233963	6.744126	0.00016838404	836.4266	932.3878	4548.323	0.0005454928	23.281574	52.858017	454.83234	3.932742e-06
3	19999	819.3120784759521	24.444676345093516	static_pitod	279.9386	95.630684	370.02573	12.016764	122.65854	355.2652	2.0382476	359.34064	352.50156	154.1	187.54837	62.627632	256.6207	-61.989784	15.952253	13.08246	0.9830042	2.7032876	24.349112	-12.446935	-194.19118	0.21801838	0.009477957	0.23182051	0.19749051	-0.02644584	1.0393136	0.7454849	6.795607	2.9057264e-07	120.2665	51.237175	170.68225	1.8137354	125.3926	54.97106	186.87898	1.8137354	128.5076	46.333485	167.01437	-3.5716412	3.1149938	39.857178	159.30089	-47.86309	23.383192	32.42721	159.30089	0.041506	0.5435196	1.8241911	15.930089	0.00027142733	1598.2977	4220.7373	25376.771	0.001722748	58.493393	264.86395	2537.6772	1.1265863e-05
4	24999	1019.737633228302	24.54350036925577	static_pitod	236.49881	143.07327	382.46408	11.204282	101.26	306.58624	1.0859426	309.06628	305.41864	120.4	182.86469	61.82295	255.24397	-75.24058	16.991777	16.63825	0.9942075	2.6335452	27.01046	-12.892033	-188.32306	0.19717483	0.009663372	0.21285306	0.18593165	-0.009380562	1.0002463	0.7367419	7.4995255	1.0989606e-06	114.20172	46.21202	164.7519	1.8761812	115.691185	48.871944	171.38205	1.8761812	136.19785	46.5775	174.64632	-7.7683244	20.506662	29.567173	163.43825	-34.974884	21.909254	28.543398	163.43825	0.0006961198	0.5415265	1.9547522	16.343824	4.0678406e-06	1294.7408	4265.4766	26712.062	4.8458276e-07	59.438953	302.275	2671.2063	2.8317044e-09
5	29999	2523.364598274231	11.894252681307414	static_pitod	259.2528	116.27948	369.06168	10.118073	103.82979	377.90884	2.7874188	382.24493	373.9808	146.5	180.87683	65.24086	266.08893	-65.69951	16.56584	15.061107	1.0006306	2.5828118	26.75822	-11.964728	-185.85565	0.20250924	0.005493196	0.21257116	0.18878473	0.0011250596	0.98579407	0.7306536	8.111207	2.4437904e-06	128.33047	56.758717	187.63174	2.0546205	133.86082	60.02899	199.48781	2.0546205	135.17703	49.241848	176.77426	4.6720734	1.3162028	42.186718	171.24612	-39.045464	23.856781	34.81818	171.24612	0.020642148	0.5207142	1.9086875	17.124613	0.00022230683	1781.4517	5034.9775	29325.236	0.00042609827	63.8892	306.83514	2932.5237	4.5888905e-06
6	34999	2723.4399919509888	12.856766206706904	static_pitod	218.70747	115.84142	345.9102	12.990733	89.44643	329.6413	4.6221013	335.27618	319.28525	122.7	177.63052	65.62499	272.4096	-107.83827	15.183109	14.070299	0.9904562	2.5955765	30.588673	-12.265605	-182.09158	0.18798059	0.004442624	0.19649537	0.17478232	-0.01615702	0.9619012	0.7261763	7.1179647	1.2516975e-06	118.36716	43.816856	169.11557	3.4779868	124.30787	47.721466	184.14903	3.4779868	139.20847	43.014774	177.37216	1.3012073	14.900596	16.070417	50.912464	-66.09527	17.773403	12.821553	66.09527	0.016356613	0.21715748	0.26811817	1.7077881	9.244881e-05	480.2861	586.8106	4368.5845	0.00026753882	6.0773654	10.583227	66.56027	1.5121495e-06
7	39999	2921.2569587230682	13.698072190219523	static_pitod	79.23183	112.222176	332.58643	9.673418	38.097015	108.6722	111.34614	252.81853	16.70771	49.1	173.83498	62.797935	268.83624	-72.4264	26.111242	27.570372	1.0156459	2.601982	31.162209	-12.731666	-178.00865	0.18027613	0.009796305	0.1979837	0.16522214	0.026384223	0.97220236	0.73593575	8.022198	8.195639e-08	75.63415	47.173645	146.09312	1.5895712	78.94312	51.818775	158.42654	1.5895712	155.71898	32.414238	195.64813	21.256264	76.775856	49.541153	187.79927	-11.970214	76.831375	49.455017	187.79927	0.25669503	4.099213	6.356929	18.779926	0.0016651283	8348.857	10559.296	35268.566	0.065892346	610.3939	1127.5681	3526.8567	0.00042743018
8	44999	3117.8076062202454	14.438489147541924	static_pitod	178.91988	123.111115	336.81995	12.033901	75.48485	280.21732	17.371664	331.97717	269.19247	109.3	172.13354	63.258633	274.46808	-87.00002	38.004486	33.55776	1.0011346	2.6162446	28.922508	-11.864247	-176.389	0.18718676	0.008249303	0.20128566	0.17507648	0.0019405228	0.9885574	0.7436973	7.256319	1.2665987e-07	121.11257	44.136257	170.2851	3.9324136	126.357506	47.56499	182.55672	3.9324136	138.01027	49.25291	193.42834	-3.1216903	11.652774	13.032391	42.047733	-20.591816	13.534848	11.065182	42.047733	0.020951428	0.15331538	0.22754706	2.589209	0.0001526972	305.63034	416.3208	1768.0118	0.00043896228	3.4822226	6.9233165	67.04004	3.1992245e-06
9	49999	3315.535824775696	15.085696697759465	static_pitod	326.77948	56.287056	376.61893	19.68263	126.69231	210.30684	46.277557	348.4464	189.23488	103.2	166.96892	61.740192	278.54022	-84.10396	30.254562	26.754646	0.9829501	2.611422	27.471725	-12.807091	-170.91426	0.17962271	0.01405999	0.2000053	0.16062349	-0.028521521	0.9695605	0.7392899	7.064952	2.0861626e-07	102.05312	51.01604	170.62593	1.9429021	106.08686	53.78249	181.82568	1.9429021	148.66164	39.333916	178.97786	-3.3825827	42.574768	48.95921	168.292	-43.291775	45.30299	46.446255	168.292	0.0011548074	1.2524328	2.673279	16.8292	7.130915e-06	4209.6157	6144.348	28322.2	1.3335803e-06	149.52898	385.96613	2832.22	8.234834e-09
10	54999	4835.001348972321	11.378062702982353	static_pitod	332.8579	47.795864	388.20987	59.00681	131.05263	351.86295	2.394	355.65393	346.76144	137.7	164.00993	57.915165	275.11255	-92.56648	23.764708	22.345177	1.0014691	2.6306722	30.454609	-11.01212	-167.64177	0.17062628	0.0037361595	0.17827733	0.16509789	0.0026099633	0.971624	0.73967993	7.437501	5.9604645e-08	134.81648	48.39095	182.72623	3.6361823	139.57146	51.686295	193.7989	3.6361823	137.9811	45.946274	178.34822	12.67462	-1.5903677	8.722065	19.504541	-24.22736	7.253534	5.0980325	24.22736	0.008241994	0.093527876	0.19114585	1.7092317	6.613862e-05	78.60368	94.54255	586.96497	6.7930465e-05	1.0072212	2.4469912	29.214731	7.0712673e-07
11	59999	5032.6180193424225	11.92492070883828	static_pitod	346.97086	16.280788	376.28784	310.38837	130.92105	361.06958	5.1757255	371.47568	355.5915	137.8	165.95691	59.21755	273.11227	-114.405396	20.957035	20.14695	0.99341345	2.605667	30.662449	-13.417545	-169.40327	0.17108904	0.0028518054	0.17758474	0.16511244	-0.011491932	0.97092307	0.74005026	8.475591	3.7252903e-07	134.52528	49.68203	185.53946	3.1327019	140.06116	53.395363	200.05478	3.1327019	140.65292	48.18942	186.96768	-3.4761462	0.59175825	11.545252	36.847958	-21.225761	8.959085	7.306011	36.847958	0.0044062957	0.09789204	0.15384956	1.7587496	0.00013773445	133.643	214.63705	1357.772	1.941544e-05	1.4359813	3.2932649	40.56107	1.144924e-06
12	64999	5230.195080757141	12.430539434784482	static_pitod	355.43008	21.804441	388.72388	283.3055	131.20512	371.84088	3.0975556	377.20477	366.08105	129.9	164.61246	58.8089	274.4813	-99.127846	17.208817	17.376213	0.9928581	2.622408	30.044083	-12.861911	-167.84918	0.16221331	0.0035845137	0.1707156	0.15822008	-0.012879445	0.97227585	0.7459775	9.553953	5.662441e-07	146.04175	55.47925	199.14088	3.2646906	150.99239	58.534718	210.17374	3.2646906	144.39294	45.82263	184.43999	2.7990036	-6.599454	15.41526	33.32536	-34.12986	14.935051	7.6241255	34.12986	0.11046121	0.13736327	0.1599306	1.6408265	0.00072951574	281.18304	236.90315	1164.8474	0.01220168	2.2747848	2.5761528	26.923115	8.545087e-05
13	69999	5426.529705524445	12.902294267021471	static_pitod	370.78452	15.209949	404.39005	345.4274	132.35135	379.0722	1.6676131	382.24277	375.49536	132.7	164.12427	57.275005	270.27084	-94.95947	15.458003	15.997353	1.00193	2.670463	29.445312	-12.277766	-167.17401	0.15979685	0.0027218815	0.16697016	0.15605655	0.003616	0.97737575	0.75315756	8.024755	5.066395e-07	149.69675	56.987267	206.3837	3.5314837	156.31598	60.065422	214.98575	3.5314837	147.75171	50.94128	189.2211	-10.312458	-8.564247	11.496447	17.65282	-37.68859	12.637178	6.7687764	37.68859	0.0017071245	0.10029061	0.10448206	1.3843942	8.0797196e-05	205.51459	187.5409	1420.43	2.914274e-06	1.3613431	1.3452808	19.165472	2.4569016e-07
14	74999	5621.325623035431	13.344750267040247	static_pitod	377.09802	14.922544	406.70477	339.40082	136.54054	382.41306	1.0084823	384.3432	380.7655	140.3	165.41872	57.122543	263.21106	-98.861404	14.62722	15.608293	0.9970165	2.681111	29.2118	-12.175586	-168.32718	0.15861717	0.004690671	0.16653895	0.14986114	-0.0054161046	0.9793623	0.7576162	8.022053	2.9802322e-07	135.85323	54.560307	190.97711	3.5671399	143.29082	58.282497	205.98865	3.5671399	156.9978	45.35517	193.705	6.22712	13.706981	33.982643	133.84763	-17.717909	22.780565	28.700996	133.84763	0.01835563	0.3626874	1.1206298	13.384763	0.00010225944	1342.7013	3199.3967	17915.188	0.00033692914	29.6198	143.54027	1791.5187	1.8770363e-06
