Epoch	TotalEnvInteracts	Time	SPS	ReplayMode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageLossQ1	StdLossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	4999	318.83749651908875	15.738559415934606	dynamic_pitod	17.416113	15.570781	121.21434	4.1791897	21.088608	22.347113	0.41432506	22.773003	21.720142	22.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.539491	8.16507	42.98702	-1.288807	12.894434	10.92079	56.91083	-0.540268	0.13062029	0.08795425	0.32242608	-0.09851778	-12.763814	10.940274	0.71407986	-56.864616	12.775262	10.926905	56.864616	0.0014230806	0.72604656	0.34319764	1.0066096	0.00014230805	282.60452	463.515	3233.5847	2.0251582e-06	11.940815	11.48196	56.81844	2.0251582e-07
1	9999	574.9680814743042	17.42701765337297	dynamic_pitod	110.28087	99.886505	296.69333	7.8460784	62.05	220.39438	1.7602909	224.22623	217.37042	97.3	92.31728	51.14827	183.6547	-37.008575	7.8821373	8.264154	-0.6364838	2.0140562	14.711564	-11.190553	-97.27086	0.55507207	0.20189595	0.99970007	0.2929603	-0.86827576	0.8483116	0.62864184	5.390133	2.7008355e-07	79.80385	46.987514	137.54787	1.2594959	89.88543	53.442707	156.93385	1.2594959	79.31552	19.106148	91.72576	6.5268955	-10.569898	45.346115	88.00242	-84.012276	39.022236	25.401917	88.00242	0.020930607	1.1616722	2.1001818	8.800241	0.00068748265	2167.9924	2045.3928	7744.4253	0.00043809033	75.67995	166.03604	774.44257	1.4389429e-05
2	14999	833.3899056911469	18.02357116461382	dynamic_pitod	225.12592	120.53238	352.8981	13.745253	106.565216	342.13812	1.2403741	343.13953	339.63544	156.6	172.42506	57.13334	246.57104	-46.316753	12.470768	11.733239	0.86495703	2.546488	17.07269	-12.597307	-178.9555	0.23926318	0.020585837	0.29292104	0.21923289	-0.18155612	1.0188878	0.72404987	5.9493704	6.556511e-07	92.76545	60.52775	168.81248	1.4566561	102.263336	67.294205	188.49889	1.4566561	105.84544	45.445625	143.65405	-13.068713	3.5821192	67.44728	138.3147	-101.82029	56.858685	36.45623	138.3147	9.855507	2.1416664	3.6286464	13.83147	0.16187666	4561.967	5588.952	19130.955	97.13101	237.31439	473.93683	1913.0956	3.1908104
3	19999	1092.4930849075317	18.32598236745942	dynamic_pitod	313.21335	64.433075	412.26834	31.16128	146.6	223.80925	1.3647453	226.40941	222.43246	99.4	146.24446	50.215515	244.7701	-58.102142	3.5605488	10.614862	0.83530575	2.31728	16.828642	-12.46574	-18.003954	0.14207979	0.015922232	0.21916097	0.12710461	-0.29277596	0.90470797	0.703213	10.712802	1.0430813e-07	94.63382	38.48414	139.62762	3.1923606	99.36615	41.048447	144.89748	3.1923606	151.87778	18.468063	172.83673	66.15909	52.511642	24.275005	104.16053	20.304768	52.511642	24.275005	104.16053	20.304768	1.1323137	1.8169498	10.146043	0.1422409	3346.7483	2921.33	10849.417	412.2836	90.45773	171.93929	1029.4219	2.8881683
4	24999	1358.0077769756317	18.424874049331944	dynamic_pitod	257.07678	96.77336	360.42105	11.417689	108.82222	342.7676	2.0240724	346.70758	339.92123	137.7	177.4166	54.401253	238.7708	-57.793873	8.060756	11.857142	1.0457275	2.7786493	22.24206	-16.272741	-102.70487	0.15908952	0.009827013	0.18186966	0.13763787	0.086769335	1.0060803	0.7713701	6.3940573	6.3329935e-08	128.98685	48.765762	176.12758	2.9649847	135.51082	53.17448	190.20271	2.9649847	137.02756	49.951614	182.53183	8.316641	1.5167446	7.0717635	20.502571	-78.76267	5.210046	5.01655	78.76267	0.0010417728	0.07340975	0.15734845	2.0502572	5.9165964e-06	52.31035	225.97131	6203.5586	1.0852906e-06	0.7401168	2.5852213	42.035545	6.258988e-09
5	29999	3079.287402153015	9.746142343361967	dynamic_pitod	270.67258	107.66559	349.54022	14.633983	115.25	336.9176	1.0920985	339.12793	335.91843	141.2	167.73999	54.547512	224.68718	-58.579945	2.8289583	4.153052	1.0124927	2.6631165	20.794247	-14.265069	-61.25329	0.15421656	0.00991962	0.1715646	0.13847785	0.023493653	1.0109596	0.7663504	6.4285145	1.1026859e-06	102.69973	56.634464	173.59071	1.7008407	110.77046	61.175625	187.4321	1.7008407	138.92506	51.683807	185.2789	-1.3537407	28.1546	56.681347	173.7011	-16.298	32.44628	54.33871	173.7011	3.8282913e-05	1.208998	3.1073892	17.37011	2.7218897e-07	4005.4565	8270.173	30172.072	1.4655815e-09	174.27286	513.17834	3017.2073	1.0420187e-11
6	34999	3338.666026353836	10.486829718054102	dynamic_pitod	328.65942	67.27373	530.88525	61.291466	156.875	357.96368	1.2071646	359.59543	355.97116	136.6	160.10468	51.972584	220.76852	-73.167366	4.401025	6.4497666	0.9486436	2.6639023	20.795609	-11.550582	-90.14321	0.13827129	0.022045033	0.17214194	0.10511377	-0.10292717	0.977041	0.75506264	6.784561	1.6391277e-07	138.10132	54.194427	186.88777	3.2733104	142.84505	56.844086	196.30188	3.2733104	140.8542	49.1979	181.70593	16.089684	-1.9908456	9.459039	22.839506	-25.87855	8.162193	5.178366	25.87855	0.011059793	0.12581582	0.25546154	2.279618	6.582201e-05	93.43689	94.25291	669.6994	0.00012231902	1.696148	4.178485	51.96658	7.279778e-07
7	39999	3594.438747406006	11.131852385453561	dynamic_pitod	370.62616	47.189465	476.3356	297.5596	151.78125	500.48438	3.266624	504.61072	495.23703	177.2	163.82686	47.593754	217.29558	-59.68211	3.4713879	5.074465	1.0399319	2.7408803	20.484219	-13.210178	-93.81046	0.1382397	0.009933556	0.15249225	0.112407126	0.08218196	1.0095901	0.7726141	6.937907	6.556511e-07	156.7269	57.218513	231.76894	3.8773193	157.74042	60.767883	233.61687	3.8773193	155.73483	39.17377	189.70325	-2.7161226	-2.0055957	30.101566	91.11332	-55.628407	24.265072	17.925764	91.11332	0.10604225	0.28323725	0.5393468	4.930293	0.00056438905	910.1268	1267.9879	8301.637	0.011244959	11.988839	29.93267	258.70624	5.9849084e-05
8	44999	3851.153694152832	11.688289545946896	dynamic_pitod	467.7722	81.76886	602.81366	228.23492	170.66667	542.6637	6.9370823	554.9649	531.426	177.4	172.53955	51.64357	240.40715	-57.73252	3.107352	3.7103853	1.0010617	2.7192807	21.77131	-12.119905	-86.52311	0.13710265	0.004470762	0.148222	0.13081454	0.0021242981	0.9450639	0.75983196	7.0578527	4.656613e-08	181.2956	70.37016	252.74524	3.139773	176.95457	69.6964	246.9029	3.139773	172.42984	47.251743	207.61714	-4.361452	-4.5247254	41.07839	169.62323	-51.938324	33.355564	24.399052	169.62323	0.02334053	0.33672637	1.0778384	16.638271	0.00021833992	1707.9073	3476.7964	28772.041	0.0005447804	27.653633	174.88295	2768.3208	5.09617e-06
9	49999	4112.562125682831	12.161261062500307	dynamic_pitod	502.3826	180.85957	739.78076	82.72739	178.07143	619.6673	2.1936285	621.98737	615.9826	202.7	187.49927	57.52964	259.38974	-42.505524	4.1280556	6.788904	1.0128392	2.643926	21.203323	-13.839072	-94.694916	0.15935116	0.0075324853	0.17023236	0.14755256	0.023943206	0.949868	0.76486385	7.280081	1.9930303e-07	186.8675	70.267914	256.20114	2.9648967	184.81883	69.54575	254.03242	2.9648967	181.7341	52.87888	219.91127	-5.408786	-3.0847437	41.248833	204.6451	-69.967285	28.51581	29.96382	204.6451	0.0028795295	0.32638448	1.386937	20.464508	1.9868652e-05	1710.9817	4801.4985	41879.613	8.29169e-06	37.816498	268.8113	4187.9614	5.7212368e-08
10	54999	6861.450571775436	8.017137246136997	dynamic_pitod	635.2211	157.066	978.39984	286.95825	209.20833	821.4215	2.7054224	826.37714	816.7943	250.4	195.58015	62.10868	278.02786	-59.17154	3.451728	4.8142715	0.9982415	2.5979357	21.395674	-14.53569	-84.770836	0.16898799	0.004325593	0.17689829	0.16099733	-0.0031119934	0.939102	0.76019406	6.9021864	2.3841858e-07	213.98631	70.22664	286.30652	4.5969024	213.73512	70.18468	285.1073	4.5969024	181.05307	57.84527	230.97299	-1.6121147	-32.682083	19.795082	11.1083	-76.09072	33.002224	19.256605	76.09072	0.13262214	0.15495317	0.08721265	1.1108301	0.0008931092	1459.9639	1341.0071	5789.7983	0.017588632	6.0738564	5.2130313	35.756996	0.000118446056
11	59999	7117.3153860569	8.431502975441806	dynamic_pitod	640.4884	194.75621	913.7975	49.165752	209.33333	1083.4021	66.0632	1193.9854	999.11035	350.5	199.88159	65.99381	281.927	-69.99416	2.990363	4.637061	1.0137616	2.554463	22.377491	-12.947855	-88.11729	0.17544506	0.005048681	0.18555231	0.16141954	0.02435626	0.94580555	0.76460147	7.5805683	3.5762787e-07	202.629	74.01948	285.6854	2.0065043	201.91118	74.114716	285.81906	2.0065043	198.98654	61.943653	247.1158	-15.232432	-2.924629	38.58473	224.94106	-56.0627	23.154392	31.003366	224.94106	0.022282401	0.35478562	1.7925682	22.494104	9.292562e-05	1497.3345	6149.79	50598.477	0.0004965054	52.234474	385.14227	5059.8477	2.070606e-06
12	64999	7374.141098737717	8.815956426607006	dynamic_pitod	667.97144	159.7576	919.00806	280.7976	220.04546	811.6044	25.747206	856.03107	774.3389	262.9	209.0044	69.04209	291.64868	-103.93878	4.9179187	8.315525	1.0034636	2.4939775	21.407215	-11.67646	-106.09132	0.18679962	0.006407135	0.19724101	0.1748565	0.0059324373	0.92804885	0.75224555	7.319532	3.874302e-07	225.79547	69.49012	303.03024	4.6355143	222.10889	67.23624	293.63272	4.6355143	215.95207	60.40825	276.00098	-1.029258	-6.1567984	18.406826	47.980183	-48.31834	16.649185	9.976074	48.31834	0.068056494	0.09468354	0.11214588	1.2339176	0.00045469718	376.71738	389.79572	2334.662	0.004631686	1.9896891	2.5456834	21.314083	3.0945095e-05
13	69999	7636.020046472549	9.168455592246385	dynamic_pitod	962.7903	408.68295	2194.4475	278.27274	300.94116	1455.9285	25.112337	1500.4513	1424.0121	442.0	213.29947	69.29846	304.08994	-59.567425	4.469575	7.0448976	0.9971828	2.3889947	21.99776	-13.071241	-108.08885	0.18747292	0.005620149	0.19901796	0.17842	-0.004702734	0.9148428	0.7485053	7.126616	3.2782555e-07	233.43025	70.36912	304.04187	4.507219	231.6786	68.85429	298.93466	4.507219	230.52356	50.704525	272.72412	13.679428	-1.1550484	26.293474	73.00471	-44.93532	22.938618	12.903516	73.00471	0.02358772	0.166391	0.4008687	6.293255	9.0457994e-05	692.6809	777.3964	5329.6875	0.00055638055	6.2458	23.753592	396.0506	2.133698e-06
14	74999	7889.887660503387	9.507220165587574	dynamic_pitod	1316.0615	673.7108	3064.701	442.27036	414.16666	430.68735	1.0532068	431.81143	428.35294	166.8	220.2623	68.686356	306.69745	-74.69747	4.1422806	6.1988716	0.99152786	2.4010298	22.900074	-11.1433115	-137.76878	0.17870057	0.0070866654	0.19480528	0.16910993	-0.0146512	0.9151267	0.7540733	7.0892363	5.811453e-07	255.22101	70.60409	323.15915	2.9055398	252.61734	69.664246	319.29865	2.9055398	269.81754	11.771493	286.1349	226.59859	17.20018	71.55971	269.77762	-46.825146	48.60126	55.268024	269.77762	0.05826651	0.60917854	2.4459627	26.977762	0.00021337894	5416.637	12735.324	72779.97	0.0033949863	121.52733	633.33923	7277.9966	1.2432846e-05
